LogReg results without classifier threshold tuning
                      Label	Prec	Rec 	F1  	Support
                  abatement	0.24	1.00	0.39	   17
                   absolute	0.65	0.98	0.78	  172
               acceleration	0.21	0.95	0.34	  214
                 acceptance	0.22	0.92	0.35	  280
                     access	0.28	0.96	0.43	  317
                    account	0.38	0.96	0.54	 1055
                accountants	0.78	0.99	0.88	  141
                 accounting	0.42	0.96	0.59	  472
                    accrued	0.20	0.90	0.33	  103
                   accuracy	0.19	0.97	0.32	  119
            acknowledgement	0.12	0.87	0.21	  304
             acknowledgment	0.19	0.91	0.32	  440
                acquisition	0.21	0.93	0.34	  155
                        act	0.46	0.97	0.62	 1070
                     action	0.12	0.89	0.21	  500
                   activity	0.29	0.89	0.44	  236
                   addendum	0.39	0.93	0.55	   27
                 additional	0.14	0.88	0.24	 1088
                    address	0.56	0.98	0.71	  174
                  addresses	0.09	0.76	0.16	   34
                       adea	0.44	1.00	0.61	   33
                 adjustment	0.41	0.95	0.57	  694
             administration	0.31	0.95	0.47	  290
             administrative	0.34	0.97	0.50	  839
              administrator	0.18	0.93	0.30	  107
                  admission	0.55	0.98	0.70	  128
                   adoption	0.09	0.93	0.17	   14
                    advance	0.27	0.96	0.42	  298
                advancement	0.40	0.92	0.56	   63
                advertising	0.20	0.87	0.32	   23
                     advice	0.23	0.95	0.37	  129
                    advisor	0.18	0.86	0.29	   56
                  affiliate	0.47	0.95	0.62	  521
                affirmation	0.28	0.94	0.43	   89
                     agency	0.17	0.77	0.28	   79
                      agent	0.39	0.97	0.56	 1623
                aggregation	0.42	0.91	0.57	   11
                  agreement	0.33	0.91	0.48	 6347
                 allocation	0.37	0.94	0.53	  238
                  allowance	0.36	0.88	0.51	   78
                alterations	0.33	0.93	0.49	   41
                    amended	0.10	0.72	0.18	   58
                  amendment	0.47	0.96	0.63	 3481
               amortization	0.13	0.89	0.23	   18
                     amount	0.15	0.90	0.26	  401
                 and design	1.00	1.00	1.00	    3
              announcements	0.33	0.97	0.50	  132
                     annual	0.28	0.95	0.43	  537
               anti-bribery	0.10	0.91	0.18	   11
            anti-corruption	0.47	0.99	0.64	  316
             anti-terrorism	0.09	0.88	0.17	   25
                     appeal	0.29	0.96	0.45	   25
                   appendix	0.26	0.83	0.39	   76
              applicability	0.58	0.91	0.71	  115
                 applicable	0.10	0.89	0.18	  579
                application	0.41	0.94	0.58	  572
                appointment	0.38	0.94	0.54	  324
                  appraisal	0.35	0.96	0.51	   69
                   approval	0.31	0.95	0.47	  830
                   approved	0.17	1.00	0.29	    9
                arbitration	0.41	0.96	0.57	  387
                 arbitrator	0.24	1.00	0.38	   13
                arrangement	0.31	0.89	0.46	   95
                   arranger	0.24	0.94	0.38	   72
                 assessment	0.26	0.84	0.40	   67
                      asset	0.26	0.93	0.41	  575
                     assign	0.43	0.98	0.60	 1458
              assignability	0.09	0.90	0.16	  122
                   assignee	0.60	0.95	0.73	  173
                 assignment	0.37	0.95	0.54	 1891
                   assignor	0.89	1.00	0.94	  152
                 assistance	0.11	0.81	0.20	   59
        assistant secretary	0.25	1.00	0.40	    1
                 assumption	0.33	0.93	0.49	  225
                 assurances	0.54	0.96	0.69	  864
                    at-will	0.33	0.97	0.49	  124
                 attachment	0.20	0.83	0.32	   36
                   attorney	0.22	0.91	0.36	  185
           attorney-in-fact	0.30	0.94	0.45	   35
                 attorneys’	0.26	0.96	0.41	  241
                      audit	0.28	0.95	0.43	  176
                  authority	0.27	0.96	0.42	 1030
              authorization	0.30	0.95	0.46	 1085
                 authorized	0.25	0.93	0.39	  163
                  automatic	0.23	0.89	0.37	   74
                 automobile	0.49	0.93	0.64	   44
               availability	0.21	0.90	0.34	  130
                      award	0.20	0.95	0.33	 1434
                 background	0.25	0.88	0.39	   42
                    balance	0.26	0.82	0.40	   34
                       bank	0.31	0.96	0.47	  301
